Genot,Temp,Family,meangr
X8789,37.5,O,3.88416666666667
X8789,40,O,2.34889509074292
X8790,20,O,2.3317481884058
X8790,25,O,3.60972222222222
X8790,30,O,4.33676900584795
X8790,35,O,4.92083333333333
X8790,37.5,O,3.92705409356725
X8790,40,O,2.27010869565217
X8816,20,O,2.1388134057971
X8816,25,O,3.25875935979648
X8816,30,O,4.25236842105263
X8816,35,O,4.94816919191919
X8816,37.5,O,4.7218567251462
X8816,40,O,2.84432490419712
X8819,20,O,2.18093297101449
X8819,25,O,3.17131193693694
X8819,30,O,4.04464912280702
X8819,35,O,4.41264619883041
X8819,37.5,O,3.89888888888889
X8819,40,O,2.05910326086956
X8829,20,O,2.29347826086957
X8829,25,O,3.05141622600862
X8829,30,O,3.53388888888889
X8829,35,O,4.32701023391813
X8829,37.5,O,3.75703216374269
X8829,40,O,2.41304347826087
X8845,20,O,2.22780797101449
X8845,25,O,3.05943375440658
X8845,30,O,3.69805555555556
X8845,35,O,3.78894736842105
X8845,37.5,O,3.27368357487923
X8845,40,O,2.60552536231884
X8848,20,O,2.28935688405797
X8848,25,O,3.30143581081081
X8848,30,O,3.94777777777778
X8848,35,O,4.18548976608187
X8848,37.5,O,3.63510233918129
X8848,40,O,2.60371376811594
X8850,20,O,2.36245471014493
X8850,25,O,3.4203490990991
X8850,30,O,4.05547514619883
X8850,35,O,4.16885964912281
X8850,37.5,O,3.81944444444445
X8850,40,O,2.91711956521739
X8851,20,O,2.24003623188406
X8851,25,O,3.02923439744092
X8851,30,O,3.99801900584795
X8851,35,O,4.68644005847953
X8851,37.5,O,3.46111861861862
X8851,40,O,2.39538043478261
XA1,20,A,2.26426630434783
XA1,25,A,3.25520459347709
XA1,30,A,4.14979532163743
XA1,35,A,4.09469610068294
XA1,37.5,A,3.67083333333333
XA1,40,A,2.45119789947999
XA10,20,A,2.19384057971014
XA10,25,A,3.00520517096355
XA10,30,A,3.77888888888889
XA10,35,A,4.22885295260295
XA10,37.5,A,3.66805555555556
XA10,40,A,2.64832840411557
XA11,20,A,2.27151268115942
XA11,25,A,3.15388845450254
XA11,30,A,4.05198099415205
XA11,35,A,4.4956370384002
XA11,37.5,A,3.98183142150247
XA11,40,A,2.85696544774808
XA12,20,A,2.17572463768116
XA12,25,A,2.98215554819097
XA12,30,A,3.74722222222222
XA12,35,A,3.94254273504274
XA12,37.5,A,3.59220760233918
XA12,40,A,2.58262356311485
XA13,20,A,2.23731884057971
XA13,25,A,2.96244059336466
XA13,30,A,3.94166666666667
XA13,35,A,3.98502331002331
XA13,37.5,A,3.66472222222222
XA13,40,A,2.5792481884058
XA14,20,A,2.19429347826087
XA14,25,A,3.01153645338903
XA14,30,A,3.75361111111111
XA14,35,A,4.19688090418354
XA14,37.5,A,3.69944444444444
XA14,40,A,2.84258927147252
XA15,20,A,2.25019927536232
